                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
rsyn0820m04m                  1.00=    85.00-  1.00=  1.00=     787014.00-  1146659.00-    1146659.00-
rsyn0830hfsg                  1.00=    85.00-  1.00=  1.00=       1231.00-     4511.00-       4511.00-
rsyn0830h                     1.00=    85.00-  1.00=  1.00=       1258.00-     5079.00-       5079.00-
rsyn0830m02hfsg               1.00=   175.00-  1.00=  1.00=       6215.00-    15980.00-      15980.00-
rsyn0830m02h                  1.00=   175.00-  1.00=  1.00=       6650.00-    23534.00-      23534.00-
rsyn0830m02m                  1.00=   156.00-  1.00=  1.00=      18402.00-  2224113.00-    2224113.00-
rsyn0830m03hfsg               1.00=   228.00-  1.00=  1.00=      10217.00-    28054.00-      28054.00-
rsyn0830m03h                  1.00=   230.00-  1.00=  1.00=       8363.00-    45876.00-      45876.00-
rsyn0830m03m                  1.00=   164.00-  1.00=  1.00=     102592.00-  1400078.00-    1400078.00-
rsyn0830m04hfsg               1.00=   240.00-  1.00=  1.00=      10270.00-   104341.00-     104341.00-
rsyn0830m04h                  1.00=   240.00-  1.00=  1.00=       9334.00-   184511.00-     184511.00-
rsyn0830m04m                  1.00=   233.00-  1.00=  1.00=    2806564.00-   983786.00-    2806564.00-
rsyn0840hfsg                  1.00=    69.00-  1.00=  1.00=       1695.00-     2191.00-       2191.00-
rsyn0840h                     1.00=    69.00-  1.00=  1.00=       1314.00-     2403.00-       2403.00-
rsyn0840m02hfsg               1.00=   195.00-  1.00=  1.00=       4776.00-     7766.00-       7766.00-
rsyn0840m02h                  1.00=   196.00-  1.00=  1.00=       6016.00-    10989.00-      10989.00-
rsyn0840m03hfsg               1.00=   222.00-  1.00=  1.00=       4818.00-    29687.00-      29687.00-
rsyn0840m03h                  1.00=   221.00-  1.00=  1.00=       5154.00-    45373.00-      45373.00-
rsyn0840m03m                  1.00=   199.00-  1.00=  1.00=      31486.00-  1169178.00-    1169178.00-
rsyn0840m04h                  1.00=   264.00-  1.00=  1.00=       8579.00-   118663.00-     118663.00-
rsyn0840m04m                  1.00=   228.00-  1.00=  1.00=     570718.00-   807698.00-     807698.00-
slay04h                       1.00=   234.00-  1.00=  1.00=       2726.00-     7028.00-       7028.00-
slay05h                       1.00=   495.00-  1.00=  1.00=      14902.00-    44627.00-      44627.00-
slay06m                       1.00=   512.00-  1.00=  1.00=       8273.00-     3281.00-       8273.00-
